,original_label,score_x,twitter_id,Comments_x,MR1_label,score_y,Comments_y,MR2_label,score,Comments
10,n,0.9513035416603088,1467812416,spring break in plain city... it's snowing ,NEU,0.7352479100227356,spring break in plain city... it's snowing @niamhmcdlynch agreed that there is nothing quite like Ireland on a sunny day  I'm Kat on the Zomppa team and lived in Ireland for 10yrs,NEG,0.9638867378234863,spring break in plain city... it's snowing @niamhmcdlynch agreed that there is nothing quite like Ireland on a sunny day  I'm Kat on the Zomppa team and lived in Ireland for 10yrsi left my IDs at the location and now i can not go out to bars  FUCKKKKKKKKKKKKK
11,m,0.8095663785934448,1467812579,I just re-pierced my ears ,POS,0.7050617933273315,"I just re-pierced my ears @Elliesworld ahhh, Ellie bellie! It'll be okay! ",NEU,0.7935572266578674,"I just re-pierced my ears @Elliesworld ahhh, Ellie bellie! It'll be okay! @charlietm I know right. I dunno what is going on with twitter. "
12,n,0.9700071215629578,1467812723,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,POS,0.483420193195343,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .@cakesofamy it was brilliant on so many levels ,NEG,0.9722862839698792,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .@cakesofamy it was brilliant on so many levels SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
13,n,0.9452608823776245,1467812771,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",NEU,0.7511028051376343,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore @pchaney By the way, I learned about you from @ines, a presentation she gave for #smcsf, spoke verrry highly of you.  ",NEG,0.6845055222511292,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore @pchaney By the way, I learned about you from @ines, a presentation she gave for #smcsf, spoke verrry highly of you.  @carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! "
14,n,0.921084463596344,1467812784,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",NEG,0.7987648248672485,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.@PortiaDaCosta okay I'm here now, thanks Portia ",NEG,0.8918509483337402,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.@PortiaDaCosta okay I'm here now, thanks Portia stuck at home "
15,p,0.9370486736297607,1467812799,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,POS,0.992277979850769,"@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!Today's gonna be a good day, cause I said it's gonna be a good day ",POS,0.7654546499252319,"@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!Today's gonna be a good day, cause I said it's gonna be a good day @fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. "
16,n,0.9727413058280945,1467812964,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,POS,0.4820997416973114,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?@TickleMeJoey I can't listen to Single Ladies without Laughing  It was brilliant ,NEU,0.39282941818237305,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?@TickleMeJoey I can't listen to Single Ladies without Laughing  It was brilliant One more week of waking up at 7. 
17,m,0.9762894511222839,1467813137,about to file taxes ,NEU,0.827297031879425,about to file taxes Greetings from the piano bench  (photo) http://twitpic.com/6oe8i,NEG,0.646521270275116,about to file taxes Greetings from the piano bench  (photo) http://twitpic.com/6oe8i@_CrC_ damn whats up with all of the rain! no worries by the time y'all make it to HOUSTON it will be hot as hell. lets DO this 
18,p,0.9760289788246155,1467813579,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,POS,0.9904070496559143,@LettyA ahh ive always wanted to see rent  love the soundtrack!!@theiBlog Your totally welcome! Ur a good read ,POS,0.7575021982192993,@LettyA ahh ive always wanted to see rent  love the soundtrack!!@theiBlog Your totally welcome! Ur a good read Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
19,n,0.837391197681427,1467813782,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,NEU,0.7011578679084778,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? watching the MTV Movie Awards for the 5th time  ~ true friends are simple the best but hard to get (:,NEG,0.7849235534667969,"@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? watching the MTV Movie Awards for the 5th time  ~ true friends are simple the best but hard to get (:Mraow, I feel like dancing, but first art school wants to rape me some more. "
20,n,0.8702742457389832,1467813985,@alydesigns i was out most of the day so didn't get much done ,POS,0.9915146827697754,@alydesigns i was out most of the day so didn't get much done Good Morning! Welcome to a brand New Day! Listening to some FEEL GOOD MUSIC! http://bit.ly/EUNLs ENJOY The Music Videos! (Please ReTweet) ,POS,0.9883339405059814,@alydesigns i was out most of the day so didn't get much done Good Morning! Welcome to a brand New Day! Listening to some FEEL GOOD MUSIC! http://bit.ly/EUNLs ENJOY The Music Videos! (Please ReTweet) michigan state you make me sad 
21,m,0.6739941835403442,1467813992,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",POS,0.6935797333717346,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* 6 years and counting today!  time really DOES fly when you're having fun.  yabyu! @cates",NEG,0.6305944323539734,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* 6 years and counting today!  time really DOES fly when you're having fun.  yabyu! @cates@Brodhe geez ur no fun are you "
22,m,0.9233871102333069,1467814119,@angry_barista I baked you a cake but I ated it ,POS,0.9436340928077698,"@angry_barista I baked you a cake but I ated it @NeenDhie Yeh i think that 2! ive slept 4 abt 3 hrs earlier 2day n just had a shower, feel a little better now  wht u up 2 2nite hun? xx",NEG,0.850902795791626,"@angry_barista I baked you a cake but I ated it @NeenDhie Yeh i think that 2! ive slept 4 abt 3 hrs earlier 2day n just had a shower, feel a little better now  wht u up 2 2nite hun? xxIs stressing out because my blackberry keeps flashing a red alert status for no reason!! Its faking me out and I hate it!!! "
23,n,0.9750944375991821,1467814180,this week is not going as i had hoped ,POS,0.9615353941917419,this week is not going as i had hoped @DonnieWahlberg Always following but don't think I'll make it from Scotland!!  Keep having a blast-I'm loving this ride xx,POS,0.8717308044433594,this week is not going as i had hoped @DonnieWahlberg Always following but don't think I'll make it from Scotland!!  Keep having a blast-I'm loving this ride xx@Poohpot lmao im sorry poohpot i ate it all! 
24,m,0.9275778532028198,1467814192,blagh class at 8 tomorrow ,POS,0.9687532782554626,blagh class at 8 tomorrow The Wonder Girls are touring with the Jonas Brothers... Hm.. That's... cool. I guess ,NEG,0.501339316368103,blagh class at 8 tomorrow The Wonder Girls are touring with the Jonas Brothers... Hm.. That's... cool. I guess Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
25,n,0.9721065759658813,1467814438,I hate when I have to call and wake people up ,NEG,0.9567579627037048,I hate when I have to call and wake people up @motif83 Go for it! ,NEG,0.9587886929512024,"I hate when I have to call and wake people up @motif83 Go for it! @Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
26,n,0.7568090558052063,1467814783,Just going to cry myself to sleep after watching Marley and Me.  ,NEU,0.8352686166763306,"Just going to cry myself to sleep after watching Marley and Me.  In sunny Sunderland for a wedding. Out tonight, England match tomorrow and wedding itself Sunday. Wedding in haunted house ",NEG,0.9314847588539124,"Just going to cry myself to sleep after watching Marley and Me.  In sunny Sunderland for a wedding. Out tonight, England match tomorrow and wedding itself Sunday. Wedding in haunted house @NehaDP Me too.  I can't stand American Idol.  You are not the only one "
27,n,0.9608297944068909,1467814883,im sad now  Miss.Lilly,NEG,0.9030197262763977,im sad now  Miss.LillyNeed a hug ,NEG,0.9797495603561401,"im sad now  Miss.LillyNeed a hug Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and "
28,m,0.5776432752609253,1467815199,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,POS,0.9186685681343079,"ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again The weather is rubish, but the rose is great with some jalapeno humous  Roll on the iphone get me started vids",POS,0.5074359774589539,"ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again The weather is rubish, but the rose is great with some jalapeno humous  Roll on the iphone get me started vidsi have to fill two hours "
29,n,0.9790008664131165,1467815753,Meh... Almost Lover is the exception... this track gets me depressed every time. ,NEG,0.8851178288459778,"Meh... Almost Lover is the exception... this track gets me depressed every time. @TLFN Follow Friday, this stuff cracks me up ",NEG,0.8157969117164612,"Meh... Almost Lover is the exception... this track gets me depressed every time. @TLFN Follow Friday, this stuff cracks me up My nap was interrupted so many times today  Going out for Japanese with the 'rents again..."
30,n,0.952286958694458,1467815923,some1 hacked my account on aim  now i have to make a new one,NEG,0.686546802520752,some1 hacked my account on aim  now i have to make a new one@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,NEG,0.8720433712005615,some1 hacked my account on aim  now i have to make a new one@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it my whole body feels itchy and like its on fire 
31,m,0.8855194449424744,1467815924,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,POS,0.9813743233680725,"@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May thoughCelebrating National Donut day with sweet creative thinking    Ahhhh, sugar high helps marketing ideas! Is there a national chocolate day?",POS,0.9310956001281738,"@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May thoughCelebrating National Donut day with sweet creative thinking    Ahhhh, sugar high helps marketing ideas! Is there a national chocolate day?@duchess_rebecca Man... intervention is soo sad "
32,n,0.9036594033241272,1467815988,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,NEU,0.8492894768714905,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! went to camp last night (wOw) followed by WHATABURGER with mandy&amp;eric. now prepping for a busy day. my computer comes home today. ,NEG,0.9489321708679199,"thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! went to camp last night (wOw) followed by WHATABURGER with mandy&amp;eric. now prepping for a busy day. my computer comes home today. @goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
33,p,0.9925370812416077,1467816149,@julieebaby awe i love you too!!!! 1 am here  i miss you,POS,0.9921911358833313,@julieebaby awe i love you too!!!! 1 am here  i miss you@salancaster  hope your ok.,POS,0.7789978981018066,"@julieebaby awe i love you too!!!! 1 am here  i miss you@salancaster  hope your ok.&quot;On popular music&quot; by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue "
34,n,0.9114709496498108,1467816665,@HumpNinja I cry my asian eyes to sleep at night ,NEG,0.88869309425354,@HumpNinja I cry my asian eyes to sleep at night @_shabbychica Thanks! ,NEG,0.9691594243049622,"@HumpNinja I cry my asian eyes to sleep at night @_shabbychica Thanks! Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe."
35,n,0.9743130207061768,1467816749,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,NEG,0.8784802556037903,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now @devvvv_  thanks. feel better!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,NEG,0.900642454624176,"ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now @devvvv_  thanks. feel better!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!If he doesn't get better in a few days, he could have something lodged in his belly "
36,n,0.9839789867401123,1467817225,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,NEG,0.9480801820755005,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,NEG,0.9556958675384521,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?feeling down 
37,n,0.8821417689323425,1467817374,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,POS,0.9881099462509155,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge@TerryPettit glad to hear that you are still using the products even though you're @ perfect weight.  Me too!  &quot;healthy fast food&quot; baby! ,POS,0.985683023929596,"@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge@TerryPettit glad to hear that you are still using the products even though you're @ perfect weight.  Me too!  &quot;healthy fast food&quot; baby! @ellievolia If oooonly we were really so lucky, eh? And awh  Definitely too early for work."
38,n,0.9793483018875122,1467817502,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,NEG,0.9642103910446167,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. Need a hug ,NEG,0.9676075577735901,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. Need a hug too worried and tired to post tonight 
39,m,0.8175039887428284,1467818007,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,NEU,0.7851858735084534,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend @marieclr I was serious  LOL,NEU,0.7704640030860901,"Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend @marieclr I was serious  LOLhttp://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
40,n,0.9065756797790527,1467818020,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,POS,0.7636417746543884,really don't feel like getting up today... but got to study to for tomorrows practical exam... I'm very glad Britney isn't crazy anymore! That was one hell of a show! Now I'm sad that it's over.  Next up...AP at Cook County!,POS,0.49784377217292786,really don't feel like getting up today... but got to study to for tomorrows practical exam... I'm very glad Britney isn't crazy anymore! That was one hell of a show! Now I'm sad that it's over.  Next up...AP at Cook County!@lolitariot oh no  hope you're not getting sick too!
41,m,0.7191178202629089,1467818481,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,POS,0.9886338710784912,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart @crazylovegirl Hope you have a WONDERFUL weekend!  ,POS,0.9217926263809204,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart @crazylovegirl Hope you have a WONDERFUL weekend!  my whole body feels itchy and like its on fire 
42,n,0.9849886894226074,1467818603,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",NEG,0.9788110256195068,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!A little bit of Bom Chicka Wah Wah + Boom Boom Pow = Dolce ON TOP OF THE WOLRD!!!! HAPPY FRIDAY EVERYONE ",NEG,0.9858033657073975,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!A little bit of Bom Chicka Wah Wah + Boom Boom Pow = Dolce ON TOP OF THE WOLRD!!!! HAPPY FRIDAY EVERYONE Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
43,p,0.8729917407035828,1467818900,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,POS,0.9778625965118408,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it smile child! ,POS,0.5915509462356567,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it smile child! would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
44,n,0.9635736346244812,1467819022,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,NEG,0.7048905491828918,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.Congrats to @axioslaw for coming out of hiding! It's about time! ,NEG,0.9535102248191833,"Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.Congrats to @axioslaw for coming out of hiding! It's about time! feeling lost, naked and confused (JK, sort of).....no iphone for me. "
45,p,0.628730297088623,1467819650,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,POS,0.8024606108665466,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... @salancaster  hope your ok.,NEU,0.6100720167160034,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... @salancaster  hope your ok.im sad now  Miss.Lilly
46,n,0.7646428942680359,1467819712,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",POS,0.5557170510292053,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?&quot;butterly in the sky - i can go twice as high, take a look it's in a book.. reading rainbow&quot;!!!! reading rainbowwww! loved that show  ",NEG,0.9494389295578003,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?&quot;butterly in the sky - i can go twice as high, take a look it's in a book.. reading rainbow&quot;!!!! reading rainbowwww! loved that show  Yep he's eating it !!! The dirty bastard ,,, right gotta look busy 4 the last 45 mins !!! Later y'all in out this bitch  lovin ya work"
47,n,0.9404507279396057,1467819812,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,NEG,0.7140362858772278,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it he landed in Graz 5 minutes ago.  SOON I'm gonna see my dad again.. ,NEG,0.5822609663009644,"Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it he landed in Graz 5 minutes ago.  SOON I'm gonna see my dad again.. @andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
48,n,0.9543871879577637,1467820206,is strangely sad about LiLo and SamRo breaking up. ,NEU,0.6039218902587891,is strangely sad about LiLo and SamRo breaking up. @james_a_michael Wow. I have been there. -lol- I have family in OH not far from there. Have a safe trip!! ,NEU,0.4851124882698059,is strangely sad about LiLo and SamRo breaking up. @james_a_michael Wow. I have been there. -lol- I have family in OH not far from there. Have a safe trip!! yes yes still trying to find a picture that will upload correclty.. 
49,n,0.6468730568885803,1467820835,@tea oh! i'm so sorry  i didn't think about that before retweeting.,NEU,0.4999152421951294,@tea oh! i'm so sorry  i didn't think about that before retweeting.@AlexDScott oh yeah as I like to call him asian Jesus wanabee!! Yes Charlie is gay  yay x x,NEU,0.5473714470863342,"@tea oh! i'm so sorry  i didn't think about that before retweeting.@AlexDScott oh yeah as I like to call him asian Jesus wanabee!! Yes Charlie is gay  yay x x@BronsonLee Occasionally, WalMart screws up and does something right and proper. "
50,n,0.9788322448730469,1467820863,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,NEG,0.8637033104896545,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are @cromnac I think I have the right Cormack! It was really nice meeting you ,NEG,0.9401171803474426,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are @cromnac I think I have the right Cormack! It was really nice meeting you running nose + spinning head = not a good combination for a meeting! 
51,n,0.9668368101119995,1467820906,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",NEG,0.9154045581817627,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. Going to sleep. Hoping tomorrow is a better day. ",NEG,0.9463835954666138,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. Going to sleep. Hoping tomorrow is a better day. @Henkuyinepu yeah, apparently i have really bad taste "
52,n,0.9629133939743042,1467821085,our duck and chicken are taking wayyy too long to hatch ,NEU,0.6427768468856812,"our duck and chicken are taking wayyy too long to hatch @selenagomez really dont you like texas anymore, or just want something new, cant wait for you album, keep going your amazing ",NEG,0.9857546091079712,"our duck and chicken are taking wayyy too long to hatch @selenagomez really dont you like texas anymore, or just want something new, cant wait for you album, keep going your amazing stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! "
53,n,0.8843958377838135,1467821338,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",POS,0.9641066193580627,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. @cromnac I think I have the right Cormack! It was really nice meeting you ",POS,0.5815215110778809,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. @cromnac I think I have the right Cormack! It was really nice meeting you HELP! I need a new boyfriend... I'm stuck in a rut "
54,p,0.660053014755249,1467821455,I need a hug ,POS,0.991424560546875,I need a hug @JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office ,POS,0.4495783746242523,I need a hug @JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office too worried and tired to post tonight 
55,n,0.8201677203178406,1467821715,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",NEU,0.9161589741706848,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! #FF more and more ladies  @MissStonewall @BajerianQueen @Sweettrini0519 @PTrini @RedhOttChilli_P @TresesPieces",NEU,0.7172760367393494,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! #FF more and more ladies  @MissStonewall @BajerianQueen @Sweettrini0519 @PTrini @RedhOttChilli_P @TresesPiecesMad tired today... Callin it in early tonight  nighty night twittas"
56,n,0.9757432341575623,1467822384,@oanhLove I hate when that happens... ,NEG,0.9076488018035889,@oanhLove I hate when that happens... Had a nice run  Now for Optometrist :/,NEG,0.9313774108886719,"@oanhLove I hate when that happens... Had a nice run  Now for Optometrist :/@Henkuyinepu yeah, apparently i have really bad taste "
57,n,0.9803927540779114,1467822389,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",NEG,0.9729984402656555,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmmGym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",NEG,0.9797216653823853,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmmGym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.Living not downtown sure isn't much fun.  "
58,n,0.9805155992507935,1467822519,Ugh....92 degrees tomorrow ,NEG,0.7942562699317932,Ugh....92 degrees tomorrow @srvwiz Thanks for that! Very kind  #FollowFriday,NEG,0.7019553780555725,Ugh....92 degrees tomorrow @srvwiz Thanks for that! Very kind  #FollowFriday@naomicullen naominaominaominaominaomi!!! duudde did you watch the live chat last night?!?!? i did  and WHY ARENT YOU ONLINE WHEN I AM?!?
